year_week,category_en,orders_count,weekly_revenue,rolling_mean,rolling_std,rolling_median,upper_bound,lower_bound,z_score,is_anomaly,revenue_at_risk,cancellations,avg_order_value,cancellation_rate,revenue_vs_baseline,orders_vs_baseline,if_score,if_prediction,if_anomaly,flagged_by_zscore,flagged_by_both
2018-W35,bed_bath_table,12,1227.17,23676.64,7223.78,25847.07,38124.21,9229.08,-3.11,True,8001.91,2,102.26,0.16666666666666666,0.05183041174761284,0.09248554913294797,-0.6680145625434901,-1,True,True,True
2017-W24,furniture_decor,34,4186.98,9044.12,1650.12,8412.92,12344.36,5743.88,-2.94,True,1556.9,1,97.37,0.029411764705882353,0.4629505137039313,0.6956521739130435,-0.6105013349760036,-1,True,True,True
2018-W35,health_beauty,14,1570.04,36390.22,8275.87,36941.79,52941.95,19838.48,-4.21,True,18268.44,0,104.67,0.0,0.043144559170018755,0.07692307692307693,-0.6268085378651982,-1,True,True,True
2017-W27,perfumery,21,2064.51,6419.56,1182.29,6435.53,8784.15,4054.98,-3.68,True,1990.47,2,93.84,0.09523809523809523,0.3215968072578183,0.6511627906976745,-0.6429293134203743,-1,True,True,True
2018-W35,perfumery,1,87.62,7306.42,1630.06,7467.94,10566.53,4046.31,-4.43,True,3958.69,0,87.62,0.0,0.011992193167105094,0.0215633423180593,-0.6511184077613086,-1,True,True,True
2018-W30,small_appliances_home_oven_and_coffee,7,1252.56,2831.52,682.65,2678.6,4196.83,1466.21,-2.31,True,213.65,0,178.94,0.0,0.4423631123919308,2.6666666666666665,-0.57809490828631,-1,True,True,True
2018-W35,sports_leisure,14,1321.82,17249.7,5533.03,18364.18,28315.77,6183.64,-2.88,True,4861.82,0,82.61,0.0,0.07662857904775155,0.13592233009708737,-0.623635750277119,-1,True,True,True
2018-W35,stationery,1,71.08,5534.34,2037.19,5548.79,9608.72,1459.96,-2.68,True,1388.88,0,71.08,0.0,0.012843446553699267,0.024922118380062305,-0.579602252224296,-1,True,True,True
2017-W25,telephony,23,941.43,3246.14,315.94,3137.5,3878.02,2614.27,-7.29,True,1672.84,0,39.23,0.0,0.2900152180743899,0.5111111111111111,-0.574677071943913,-1,True,True,True
2017-W25,unknown,8,443.81,3174.66,1041.7,3231.95,5258.06,1091.26,-2.62,True,647.45,1,55.48,0.125,0.13979764762210758,0.44755244755244755,-0.5785381929245949,-1,True,True,True
2018-W35,watches_gifts,5,464.07,23306.02,7004.88,25396.08,37315.77,9296.27,-3.26,True,8832.2,0,77.34,0.0,0.019912022730607798,0.045454545454545456,-0.6103886166816208,-1,True,True,True
