year_week,category_en,orders_count,weekly_revenue,rolling_mean,rolling_std,rolling_median,upper_bound,lower_bound,z_score,is_anomaly,revenue_at_risk,cancellations,avg_order_value,cancellation_rate,revenue_vs_baseline,orders_vs_baseline,if_score,if_prediction,if_anomaly,flagged_by_zscore,flagged_by_both
2017-W04,agro_industry_and_commerce,1,122.84,,,,,,0.0,False,,0,61.42,0.0,1.0,1.0,-0.39362466801399354,1,False,False,False
2017-W05,agro_industry_and_commerce,2,82.85,,,,,,0.0,False,,0,41.42,0.0,1.0,1.0,-0.39982446143853384,1,False,False,False
2017-W06,agro_industry_and_commerce,2,153.64,,,,,,0.0,False,,0,76.82,0.0,1.0,1.0,-0.3911183269826684,1,False,False,False
2017-W07,agro_industry_and_commerce,3,104.85,,,,,,0.0,False,,0,34.95,0.0,1.0,1.0,-0.4182289226048244,1,False,False,False
2017-W08,agro_industry_and_commerce,1,36.1,116.04,29.93,113.84,175.9,56.19,-2.67,True,20.09,0,12.03,0.0,0.31109962082040676,0.5,-0.46111854164844784,1,False,True,False
2017-W11,agro_industry_and_commerce,1,74.17,100.06,44.16,104.85,188.37,11.74,-0.59,False,0.0,0,74.17,0.0,0.7412552468518888,0.5555555555555556,-0.38239885717259214,1,False,False,False
2017-W12,agro_industry_and_commerce,1,36.52,95.74,40.89,93.85,177.51,13.97,-1.45,False,0.0,0,36.52,0.0,0.38144975976603307,0.6,-0.4065051879551567,1,False,False,False
2017-W18,agro_industry_and_commerce,1,67.77,87.28,43.52,82.85,174.32,0.24,-0.45,False,0.0,0,67.77,0.0,0.7764665444546287,0.6363636363636364,-0.38301295014532827,1,False,False,False
2017-W19,agro_industry_and_commerce,1,657.61,84.84,40.88,78.51,166.6,3.09,14.01,True,0.0,0,657.61,0.0,7.751178689297501,0.6666666666666666,-0.6412671550662578,-1,True,False,False
2017-W20,agro_industry_and_commerce,1,957.15,151.69,207.9,78.51,567.5,0.0,3.87,True,0.0,0,957.15,0.0,6.309908365745929,0.6666666666666666,-0.5270544993827719,1,False,False,False
2017-W21,agro_industry_and_commerce,1,81.21,260.98,348.68,89.51,958.34,0.0,-0.52,False,0.0,0,81.21,0.0,0.3111732699823741,0.7272727272727273,-0.3855176575267676,1,False,False,False
2017-W26,agro_industry_and_commerce,1,1422.05,251.92,352.78,77.69,957.49,0.0,3.32,True,0.0,0,1422.05,0.0,5.644847570657352,0.8,-0.5757898298350741,1,False,False,False
2017-W28,agro_industry_and_commerce,1,1199.47,416.57,534.77,77.69,1486.12,0.0,1.46,False,0.0,0,1199.47,0.0,2.8793960198766113,1.0,-0.49169178056109714,1,False,False,False
