year_week,category_en,orders_count,weekly_revenue,avg_order_value,cancellations,rolling_mean,rolling_std,rolling_median,upper_bound,lower_bound,z_score,is_anomaly,revenue_at_risk,severity,expected_revenue,actual_revenue,revenue_gap,revenue_gap_pct
2018-W18,agro_industry_and_commerce,1,52.87,52.87,0,1558.71,747.61,1509.35,3053.93,63.49,-2.01,True,10.62,Medium,1558.71,52.87,1505.84,96.6
2018-W06,audio,2,55.36,27.68,0,1025.12,332.08,881.76,1689.27,360.96,-2.92,True,305.6,High,1025.12,55.36,969.76,94.6
2018-W35,audio,1,22.29,22.29,0,643.29,290.96,682.46,1225.21,61.36,-2.13,True,39.07,Medium,643.29,22.29,621.0,96.5
2018-W21,auto,35,4637.52,125.34,0,14621.78,2515.21,14391.42,19652.19,9591.36,-3.97,True,4953.84,Critical,14621.78,4637.52,9984.26,68.3
2018-W35,auto,6,524.38,87.4,0,13921.97,5628.15,14413.81,25178.28,2665.66,-2.38,True,2141.28,Medium,13921.97,524.38,13397.59,96.2
2017-W52,baby,14,1666.12,104.13,0,6629.97,1928.17,5980.98,10486.3,2773.63,-2.57,True,1107.51,High,6629.97,1666.12,4963.85,74.9
2018-W35,baby,3,387.78,129.26,0,7167.83,3278.02,6577.48,13723.87,611.79,-2.07,True,224.01,Medium,7167.83,387.78,6780.05,94.6
2017-W15,bed_bath_table,31,3457.16,76.83,0,9048.9,2096.1,9029.1,13241.1,4856.7,-2.67,True,1399.54,High,9048.9,3457.16,5591.74,61.8
2018-W28,bed_bath_table,68,11521.29,137.16,1,26380.95,6201.9,25586.49,38784.74,13977.16,-2.4,True,2455.87,Medium,26380.95,11521.29,14859.66,56.3
2018-W35,bed_bath_table,12,1227.17,102.26,2,23676.64,7223.78,25847.07,38124.21,9229.08,-3.11,True,8001.91,Critical,23676.64,1227.17,22449.47,94.8
2018-W26,books_technical,1,51.44,51.44,0,803.35,308.97,874.74,1421.28,185.42,-2.43,True,133.98,Medium,803.35,51.44,751.91,93.6
2017-W35,computers_accessories,54,6657.9,102.43,0,16067.45,4130.67,15208.96,24328.79,7806.11,-2.28,True,1148.21,Medium,16067.45,6657.9,9409.55,58.6
2018-W35,computers_accessories,6,455.93,75.99,0,14707.91,6777.13,14473.66,28262.17,1153.66,-2.1,True,697.73,Medium,14707.91,455.93,14251.98,96.9
2018-W35,consoles_games,2,136.62,68.31,0,1958.31,715.31,1937.61,3388.93,527.69,-2.55,True,391.07,High,1958.31,136.62,1821.69,93.0
2017-W51,cool_stuff,31,5847.46,177.2,0,15448.81,4345.27,13851.54,24139.35,6758.27,-2.21,True,910.81,Medium,15448.81,5847.46,9601.35,62.1
2018-W21,cool_stuff,15,5094.93,299.7,0,10256.82,1484.34,9948.69,13225.49,7288.14,-3.48,True,2193.21,Critical,10256.82,5094.93,5161.89,50.3
2018-W22,cool_stuff,16,3384.45,199.09,0,9768.65,2347.72,9948.69,14464.09,5073.21,-2.72,True,1688.76,High,9768.65,3384.45,6384.2,65.4
2018-W27,fashion_bags_accessories,10,628.21,62.82,0,2384.89,844.48,2254.2,4073.85,695.93,-2.08,True,67.72,Medium,2384.89,628.21,1756.68,73.7
2017-W51,food_drink,1,54.17,54.17,0,980.49,438.79,885.07,1858.06,102.92,-2.11,True,48.75,Medium,980.49,54.17,926.32,94.5
2017-W24,furniture_decor,34,4186.98,97.37,1,9044.12,1650.12,8412.92,12344.36,5743.88,-2.94,True,1556.9,High,9044.12,4186.98,4857.14,53.7
2017-W39,furniture_decor,56,7289.53,113.9,0,14811.17,2514.25,14721.18,19839.67,9782.68,-2.99,True,2493.15,High,14811.17,7289.53,7521.64,50.8
2018-W21,furniture_decor,65,13435.32,158.06,3,24763.89,3650.4,24629.3,32064.7,17463.09,-3.1,True,4027.77,Critical,24763.89,13435.32,11328.57,45.7
2018-W35,furniture_decor,2,215.59,107.8,0,20186.77,9501.22,21376.9,39189.21,1184.32,-2.1,True,968.73,Medium,20186.77,215.59,19971.18,98.9
2017-W24,health_beauty,51,5727.1,98.74,1,11928.03,2853.21,11993.02,17634.45,6221.61,-2.17,True,494.51,Medium,11928.03,5727.1,6200.93,52.0
