year_week,category_en,orders_count,weekly_revenue,avg_order_value,cancellations,rolling_mean,rolling_std,rolling_median,upper_bound,lower_bound,z_score,is_anomaly,revenue_at_risk
2017-W04,agro_industry_and_commerce,1,122.84,61.42,0,,,,,,,False,
2017-W05,agro_industry_and_commerce,2,82.85,41.42,0,,,,,,,False,
2017-W06,agro_industry_and_commerce,2,153.64,76.82,0,,,,,,,False,
2017-W07,agro_industry_and_commerce,3,104.85,34.95,0,,,,,,,False,
2017-W08,agro_industry_and_commerce,1,36.1,12.03,0,116.04,29.93,113.84,175.9,56.19,-2.67,True,20.09
2017-W11,agro_industry_and_commerce,1,74.17,74.17,0,100.06,44.16,104.85,188.37,11.74,-0.59,False,0.0
2017-W12,agro_industry_and_commerce,1,36.52,36.52,0,95.74,40.89,93.85,177.51,13.97,-1.45,False,0.0
2017-W18,agro_industry_and_commerce,1,67.77,67.77,0,87.28,43.52,82.85,174.32,0.24,-0.45,False,0.0
2017-W19,agro_industry_and_commerce,1,657.61,657.61,0,84.84,40.88,78.51,166.6,3.09,14.01,True,0.0
2017-W20,agro_industry_and_commerce,1,957.15,957.15,0,151.69,207.9,78.51,567.5,0.0,3.87,True,0.0
2017-W21,agro_industry_and_commerce,1,81.21,81.21,0,260.98,348.68,89.51,958.34,0.0,-0.52,False,0.0
2017-W26,agro_industry_and_commerce,1,1422.05,1422.05,0,251.92,352.78,77.69,957.49,0.0,3.32,True,0.0
2017-W28,agro_industry_and_commerce,1,1199.47,1199.47,0,416.57,534.77,77.69,1486.12,0.0,1.46,False,0.0
2017-W35,agro_industry_and_commerce,1,898.4,224.6,0,561.99,573.32,369.41,1708.63,0.0,0.59,False,0.0
2017-W36,agro_industry_and_commerce,1,418.04,418.04,0,665.02,546.57,778.0,1758.16,0.0,-0.45,False,0.0
2017-W37,agro_industry_and_commerce,1,854.33,854.33,0,712.71,498.42,778.0,1709.55,0.0,0.28,False,0.0
2017-W38,agro_industry_and_commerce,1,1694.64,847.32,0,811.03,425.22,876.36,1661.48,0.0,2.08,True,0.0
2017-W40,agro_industry_and_commerce,1,43.72,43.72,0,940.66,519.41,927.78,1979.48,0.0,-1.73,False,0.0
2017-W41,agro_industry_and_commerce,1,37.1,37.1,0,826.48,608.09,876.36,2042.67,0.0,-1.3,False,0.0
2017-W42,agro_industry_and_commerce,1,948.35,948.35,0,820.97,615.96,876.36,2052.9,0.0,0.21,False,0.0
2017-W43,agro_industry_and_commerce,2,2529.26,1264.63,0,761.76,571.06,876.36,1903.88,0.0,3.1,True,0.0
2017-W45,agro_industry_and_commerce,2,1434.27,717.13,0,927.98,844.66,876.36,2617.31,0.0,0.6,False,0.0
