year_month,orders_count,monthly_revenue,monthly_aov,unique_customers
2016-10,265,46484.37,164.84,265
2016-12,1,19.62,19.62,1
2017-01,750,127545.67,159.63,750
2017-02,1653,271298.65,155.12,1653
2017-03,2546,413927.47,153.31,2546
2017-04,2303,390136.05,160.15,2303
2017-05,3546,566804.28,149.71,3546
2017-06,3135,489918.34,147.48,3135
2017-07,3858,564202.01,136.51,3858
2017-08,4137,636939.27,146.93,4137
2017-09,4144,699858.64,160.33,4144
2017-10,4478,750854.95,159.86,4478
2017-11,7289,1152521.99,151.79,7289
2017-12,5513,842264.0,147.02,5513
2018-01,7069,1077541.56,146.6,7069
2018-02,6555,965637.78,142.51,6555
2018-03,7003,1119411.94,153.41,7003
2018-04,6763,1114637.82,158.58,6763
2018-05,6666,1096163.67,158.45,6666
2018-06,6051,993322.41,157.75,6051
2018-07,6075,990959.18,157.85,6075
2018-08,6230,950621.44,148.33,6230
