year_month,total_orders,cancelled_orders,refund_rate_pct
2016-09,4,2,50.0
2016-10,324,24,7.41
2016-12,1,0,0.0
2017-01,800,3,0.38
2017-02,1780,17,0.96
2017-03,2682,33,1.23
2017-04,2404,18,0.75
2017-05,3700,29,0.78
2017-06,3245,16,0.49
2017-07,4026,42,1.04
2017-08,4331,83,1.92
2017-09,4285,26,0.61
2017-10,4631,26,0.56
2017-11,7544,37,0.49
2017-12,5673,11,0.19
2018-01,7269,34,0.47
2018-02,6728,73,1.09
2018-03,7211,26,0.36
2018-04,6902,15,0.22
2018-05,6790,24,0.35
2018-06,6119,18,0.29
2018-07,6224,57,0.92
2018-08,6448,141,2.19
2018-09,16,15,93.75
2018-10,4,4,100.0
