year_month,orders_count,total_list_price,total_paid,discount_depth_pct
2016-10,265,48133.3,61664.6,-28.11
2016-12,1,19.62,19.62,0.0
2017-01,750,136749.42,176491.49,-29.06
2017-02,1653,285260.5,325782.66,-14.21
2017-03,2546,440064.65,505293.91,-14.82
2017-04,2303,413855.41,455292.19,-10.01
2017-05,3546,610381.45,701051.15,-14.85
2017-06,3135,513512.1,585093.72,-13.94
2017-07,3858,604739.38,711422.84,-17.64
2017-08,4137,666510.41,830750.35,-24.64
2017-09,4144,742608.55,994670.52,-33.94
2017-10,4478,785184.48,998291.76,-27.14
2017-11,7289,1194873.72,1547603.96,-29.52
2017-12,5513,874067.75,1018959.63,-16.58
2018-01,7069,1120856.32,1372618.4,-22.46
2018-02,6555,1005497.71,1278954.69,-27.2
2018-03,7003,1168529.57,1432448.03,-22.59
2018-04,6763,1153659.46,1443147.65,-25.09
2018-05,6666,1138996.9,1442884.09,-26.68
2018-06,6051,1045874.08,1259546.79,-20.43
2018-07,6075,1026149.25,1234695.53,-20.32
2018-08,6230,985026.62,1165161.97,-18.29
