category_en,orders_count,total_revenue,avg_order_value,cancel_rate_pct
bed_bath_table,9402,1703789.23,144.36,1.68
health_beauty,8814,1638952.92,164.85,0.4
computers_accessories,6673,1573223.93,195.38,0.57
watches_gifts,5602,1417409.09,229.47,0.34
furniture_decor,6425,1416047.52,162.71,0.43
sports_leisure,7703,1380319.06,154.78,0.58
housewares,5855,1080581.76,147.56,0.83
auto,3880,845617.52,193.99,0.69
garden_tools,3509,832626.73,182.83,0.44
cool_stuff,3618,775693.94,195.24,0.43
office_furniture,1262,640001.09,362.61,0.06
toys,3878,615062.79,144.21,0.8
baby,2876,535563.72,168.15,0.63
perfumery,3143,497905.61,140.93,0.42
telephony,4190,484410.42,102.83,0.4
stationery,2309,316684.72,121.15,0.54
pet_shop,1701,308173.85,152.86,0.25
computers,178,277140.02,1277.14,0.0
electronics,2548,259229.13,91.18,0.39
unknown,1449,251989.65,148.58,0.88
