year_week,weekly_revenue,orders_count,prev_week_revenue,wow_change,wow_pct
2016-W40,42587.64,231,,,
2016-W41,3896.73,34,42587.64,-38690.91,-90.85
2016-W51,19.62,1,3896.73,-3877.11,-99.5
2017-W01,3651.39,44,19.62,3631.77,18510.55
2017-W02,12590.09,73,3651.39,8938.7,244.8
2017-W03,27209.61,189,12590.09,14619.52,116.12
2017-W04,60985.5,332,27209.61,33775.89,124.13
2017-W05,78392.75,432,60985.5,17407.25,28.54
2017-W06,87115.89,511,78392.75,8723.14,11.13
2017-W07,59826.52,379,87115.89,-27289.37,-31.33
2017-W08,50346.02,349,59826.52,-9480.5,-15.85
2017-W09,77411.26,461,50346.02,27065.24,53.76
2017-W10,85401.21,548,77411.26,7989.95,10.32
2017-W11,106262.44,591,85401.21,20861.23,24.43
2017-W12,96993.07,624,106262.44,-9269.37,-8.72
2017-W13,95850.7,546,96993.07,-1142.37,-1.18
2017-W14,98754.83,563,95850.7,2904.13,3.03
2017-W15,64738.57,421,98754.83,-34016.26,-34.45
2017-W16,96091.45,545,64738.57,31352.88,48.43
2017-W17,101286.53,644,96091.45,5195.08,5.41
2017-W18,112945.15,750,101286.53,11658.62,11.51
2017-W19,126025.96,753,112945.15,13080.81,11.58
2017-W20,139970.61,916,126025.96,13944.65,11.06
2017-W21,129567.63,760,139970.61,-10402.98,-7.43
2017-W22,128870.87,800,129567.63,-696.76,-0.54
2017-W23,123348.79,814,128870.87,-5522.08,-4.28
2017-W24,114927.32,726,123348.79,-8421.47,-6.83
2017-W25,101019.36,635,114927.32,-13907.96,-12.1
2017-W26,106776.69,706,101019.36,5757.33,5.7
2017-W27,120815.64,794,106776.69,14038.95,13.15
2017-W28,132271.61,926,120815.64,11455.97,9.48
2017-W29,139208.74,937,132271.61,6937.13,5.24
2017-W30,125354.56,881,139208.74,-13854.18,-9.95
2017-W31,134382.21,938,125354.56,9027.65,7.2
2017-W32,144251.11,901,134382.21,9868.9,7.34
2017-W33,140798.9,993,144251.11,-3452.21,-2.39
2017-W34,120898.23,848,140798.9,-19900.67,-14.13
2017-W35,198170.95,970,120898.23,77272.72,63.92
2017-W36,150568.52,879,198170.95,-47602.43,-24.02
2017-W37,181481.09,1136,150568.52,30912.57,20.53
2017-W38,146227.64,956,181481.09,-35253.45,-19.43
2017-W39,160889.62,925,146227.64,14661.98,10.03
2017-W40,163877.5,975,160889.62,2987.88,1.86
2017-W41,170901.08,1030,163877.5,7023.58,4.29
2017-W42,187740.42,1105,170901.08,16839.34,9.85
2017-W43,158158.37,950,187740.42,-29582.05,-15.76
2017-W44,162862.01,900,158158.37,4703.64,2.97
2017-W45,179787.89,1168,162862.01,16925.88,10.39
2017-W46,201222.91,1259,179787.89,21435.02,11.92
2017-W47,463778.16,2915,201222.91,262555.25,130.48
2017-W48,307811.69,2047,463778.16,-155966.47,-33.63
2017-W49,252116.2,1631,307811.69,-55695.49,-18.09
2017-W50,213724.9,1367,252116.2,-38391.3,-15.23
2017-W51,145742.22,952,213724.9,-67982.68,-31.81
2017-W52,116868.93,857,145742.22,-28873.29,-19.81
2018-W01,207439.3,1341,116868.93,90570.37,77.5
2018-W02,270774.74,1738,207439.3,63335.44,30.53
2018-W03,251480.77,1704,270774.74,-19293.97,-7.13
2018-W04,241076.76,1545,251480.77,-10404.01,-4.14
2018-W05,227848.8,1561,241076.76,-13227.96,-5.49
2018-W06,231708.35,1541,227848.8,3859.55,1.69
2018-W07,223381.97,1595,231708.35,-8326.38,-3.59
2018-W08,242264.43,1713,223381.97,18882.46,8.45
2018-W09,295659.53,1849,242264.43,53395.1,22.04
2018-W10,261357.64,1598,295659.53,-34301.89,-11.6
2018-W11,247318.12,1541,261357.64,-14039.52,-5.37
2018-W12,263644.62,1671,247318.12,16326.5,6.6
2018-W13,231793.24,1431,263644.62,-31851.38,-12.08
2018-W14,258781.72,1555,231793.24,26988.48,11.64
2018-W15,264263.75,1522,258781.72,5482.03,2.12
2018-W16,260273.24,1622,264263.75,-3990.51,-1.51
2018-W17,259131.78,1630,260273.24,-1141.46,-0.44
2018-W18,266997.55,1708,259131.78,7865.77,3.04
2018-W19,323667.27,1915,266997.55,56669.72,21.22
2018-W20,290137.85,1788,323667.27,-33529.42,-10.36
2018-W21,146800.61,931,290137.85,-143337.24,-49.4
2018-W22,202879.94,1065,146800.61,56079.33,38.2
2018-W23,236315.12,1413,202879.94,33435.18,16.48
2018-W24,251404.91,1482,236315.12,15089.79,6.39
2018-W25,221909.45,1432,251404.91,-29495.46,-11.73
2018-W26,214248.46,1369,221909.45,-7660.99,-3.45
2018-W27,181412.06,1170,214248.46,-32836.4,-15.33
2018-W28,169776.43,962,181412.06,-11635.63,-6.41
2018-W29,254344.27,1638,169776.43,84567.84,49.81
2018-W30,268213.21,1573,254344.27,13868.94,5.45
2018-W31,305700.83,1962,268213.21,37487.62,13.98
2018-W32,304564.64,1888,305700.83,-1136.19,-0.37
2018-W33,278360.38,1806,304564.64,-26204.26,-8.6
2018-W34,142245.59,1040,278360.38,-136114.79,-48.9
2018-W35,11118.45,113,142245.59,-131127.14,-92.18
