year_week,category_en,orders_count,weekly_revenue,avg_order_value,cancellations
2016-W35,furniture_decor,1,272.46,136.23,0
2016-W36,telephony,1,75.06,75.06,1
2016-W39,baby,1,109.34,109.34,1
2016-W40,furniture_decor,44,9202.65,139.43,0
2016-W40,perfumery,29,7173.98,217.39,2
2016-W40,health_beauty,39,5334.89,121.25,2
2016-W40,toys,23,5298.09,211.92,3
2016-W40,air_conditioning,5,4675.43,467.54,0
2016-W40,market_place,4,4423.73,402.16,0
2016-W40,consoles_games,7,3868.99,552.71,0
2016-W40,sports_leisure,16,3739.62,233.73,2
2016-W40,watches_gifts,5,3468.04,693.61,0
2016-W40,housewares,8,2687.97,244.36,0
2016-W40,auto,10,2521.85,229.26,2
2016-W40,bed_bath_table,5,2291.71,286.46,0
2016-W40,baby,10,2235.09,171.93,0
2016-W40,computers_accessories,16,2098.19,99.91,0
2016-W40,garden_tools,5,1465.19,293.04,0
2016-W40,electronics,2,1347.57,673.78,0
2016-W40,cool_stuff,8,1335.41,166.93,0
2016-W40,office_furniture,5,1323.47,264.69,0
2016-W40,fixed_telephony,4,754.34,188.59,0
2016-W40,telephony,7,667.54,83.44,1
2016-W40,pet_shop,3,659.7,164.93,0
2016-W40,industry_commerce_and_business,3,640.78,160.19,0
2016-W40,fashion_bags_accessories,6,617.21,88.17,1
2016-W40,books_technical,1,299.84,299.84,0
2016-W40,diapers_and_hygiene,1,150.99,150.99,0
2016-W40,audio,1,147.08,147.08,0
2016-W40,books_general_interest,1,144.54,144.54,0
2016-W40,unknown,2,95.92,47.96,0
2016-W40,fashio_female_clothing,1,69.63,69.63,0
2016-W40,fashion_shoes,1,40.95,40.95,0
2016-W40,fashion_male_clothing,1,35.86,35.86,0
2016-W41,furniture_decor,7,1649.89,183.32,0
2016-W41,health_beauty,5,727.27,121.21,0
2016-W41,market_place,3,532.14,177.38,0
2016-W41,toys,2,372.65,186.33,0
2016-W41,office_furniture,1,264.08,264.08,0
2016-W41,consoles_games,3,220.43,73.48,0
2016-W41,computers_accessories,2,216.17,72.06,0
2016-W41,auto,1,194.85,194.85,0
2016-W41,sports_leisure,3,187.49,62.5,0
2016-W41,fashion_bags_accessories,2,121.54,60.77,0
2016-W41,pet_shop,1,116.16,116.16,0
2016-W41,food,1,96.23,96.23,0
2016-W41,telephony,2,75.28,37.64,0
2016-W41,housewares,1,48.55,48.55,0
2016-W41,audio,1,35.95,35.95,0
2016-W41,perfumery,1,27.86,9.29,0
2016-W41,fixed_telephony,1,20.11,20.11,0
2016-W51,fashion_bags_accessories,1,19.62,19.62,0
2017-W01,cool_stuff,1,1693.04,846.52,0
2017-W01,health_beauty,2,1056.14,176.02,0
2017-W01,furniture_decor,3,349.61,116.54,0
2017-W01,garden_tools,2,348.71,174.36,0
2017-W01,fashion_bags_accessories,10,317.95,31.79,0
2017-W01,toys,3,243.85,81.28,0
2017-W01,watches_gifts,1,164.21,164.21,0
2017-W01,furniture_bedroom,8,148.76,18.59,0
