year_week,seller_state,orders_count,weekly_revenue,cancellations
2016-W35,MG,1,272.46,0
2016-W36,PR,1,75.06,1
2016-W39,SP,1,109.34,1
2016-W40,SP,149,37958.06,4
2016-W40,PR,34,10289.49,1
2016-W40,RJ,41,10264.28,4
2016-W40,MG,19,4229.9,3
2016-W40,SC,12,2624.89,0
2016-W40,RS,6,1509.7,1
2016-W40,DF,4,637.17,0
2016-W40,MS,3,584.81,0
2016-W40,AC,1,299.84,0
2016-W40,ES,2,233.37,0
2016-W40,BA,1,94.51,0
2016-W40,CE,1,90.23,0
2016-W41,SP,23,3478.85,0
2016-W41,PR,4,556.51,0
2016-W41,MG,5,427.68,0
2016-W41,RJ,2,169.58,0
2016-W41,RS,2,157.87,0
2016-W41,SC,1,116.16,0
2016-W51,PR,1,19.62,0
2017-W01,SP,13,3413.79,0
2017-W01,PR,32,1210.62,0
2017-W01,RJ,1,175.28,0
2017-W02,SP,41,5818.5,1
2017-W02,DF,9,3799.18,0
2017-W02,PR,13,2483.11,0
2017-W02,BA,3,2297.6,0
2017-W02,SC,3,853.0,0
2017-W02,MG,7,751.75,0
2017-W02,RJ,2,422.6,0
2017-W02,RS,1,191.4,0
2017-W03,SP,133,24350.51,0
2017-W03,PR,25,7088.28,0
2017-W03,MG,19,3097.49,0
2017-W03,RS,3,2262.8,0
2017-W03,SC,7,1920.69,0
2017-W03,RJ,7,1871.62,0
2017-W03,ES,1,32.77,0
2017-W04,SP,195,46422.44,0
2017-W04,PR,45,13151.1,1
2017-W04,RJ,33,7309.78,0
2017-W04,MG,41,6464.05,0
2017-W04,SC,23,3811.91,0
2017-W04,PE,1,2023.0,0
2017-W04,RS,5,1191.36,0
2017-W04,BA,2,835.68,0
2017-W04,DF,3,465.92,0
2017-W04,MS,2,439.11,0
2017-W04,ES,2,243.5,0
2017-W04,CE,2,78.82,0
2017-W05,SP,260,47747.24,1
2017-W05,PR,55,21031.0,0
2017-W05,SC,18,14134.1,0
2017-W05,MG,63,12724.09,0
2017-W05,RJ,34,6168.47,0
2017-W05,RS,9,1973.06,0
2017-W05,BA,6,1435.02,1
2017-W05,AM,1,984.26,0
2017-W05,CE,2,804.91,0
2017-W05,PB,1,412.12,0
2017-W05,SE,1,145.9,0
2017-W05,PE,1,124.35,0
2017-W05,ES,1,121.05,0
2017-W05,GO,1,95.6,0
2017-W06,SP,326,58221.01,2
2017-W06,MG,79,13551.73,2
2017-W06,PR,44,9974.32,0
2017-W06,SC,32,6580.5,0
2017-W06,RJ,22,5906.2,0
2017-W06,BA,9,4789.13,0
2017-W06,CE,5,1795.62,0
2017-W06,RS,12,1201.92,0
2017-W06,PE,1,273.18,0
2017-W06,MS,1,192.55,0
2017-W06,ES,1,116.43,0
2017-W06,DF,1,109.15,0
2017-W06,GO,1,36.94,0
2017-W07,SP,285,53052.92,1
2017-W07,MG,36,6356.85,0
2017-W07,PR,24,5520.47,1
2017-W07,SC,18,3664.56,0
2017-W07,ES,2,3510.43,0
2017-W07,RJ,9,2299.57,0
2017-W07,DF,3,1926.43,1
2017-W07,RS,10,1733.28,0
2017-W07,CE,4,1056.52,0
2017-W07,BA,4,713.65,0
2017-W07,PE,1,45.7,0
2017-W08,SP,262,44420.58,3
2017-W08,MG,40,10263.23,1
2017-W08,PR,30,6892.57,0
2017-W08,RJ,11,3336.2,0
2017-W08,SC,15,3120.15,0
2017-W08,RS,8,1923.32,0
2017-W08,MS,2,1035.63,0
2017-W08,BA,2,311.55,0
2017-W08,DF,1,196.75,0
2017-W08,ES,1,116.3,0
2017-W08,PE,1,80.78,0
2017-W08,CE,1,29.84,0
2017-W09,SP,301,60960.24,4
2017-W09,PR,43,14032.53,0
2017-W09,MG,77,12061.88,1
2017-W09,RS,13,5192.05,0
2017-W09,RJ,13,3662.36,0
2017-W09,SC,21,2454.86,0
2017-W09,ES,4,1567.37,0
2017-W09,BA,2,1000.98,0
2017-W09,DF,5,857.96,0
2017-W09,MS,2,471.95,0
